seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1982182	1982331	150	*	X00126	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2323483	2323752	270	*	X00151	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00151	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00153	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344198	2344263	66	*	X00154	5192	2336241	2344010	7770	-	187	upstream	187	PEX10
chr1	2344909	2345028	120	*	X00155	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00158	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2460000	2460052	53	*	X00159	55229	2439975	2458035	18061	-	1964	upstream	1964	PANK4
chr1	2487022	2487077	56	*	X00166	8764	2487805	2495267	7463	+	727	upstream	727	TNFRSF14
chr1	2487318	2487482	165	*	X00167	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	2488578	2488667	90	*	X00168	100133445	2486163	2488450	2288	-	127	upstream	127	NA
chr1	2517495	2517614	120	*	X00171	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00172	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	3371156	3371189	34	*	X00188	27237	3371147	3397677	26531	+	0	inside	8	ARHGEF16
chr1	3527983	3528130	148	*	X00197	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3541703	3542003	301	*	X00198	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3663507	3663656	150	*	X00199	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00200	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00201	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689063	114	*	X00202	388588	3689334	3692546	3213	+	270	upstream	270	SMIM1
chr1	3713211	3713330	120	*	X00206	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00207	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00208	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00208	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00209	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00209	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00210	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00211	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051104	6051223	120	*	X00213	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00214	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00215	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00216	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00217	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6265074	6265193	120	*	X00219	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6265485	6265574	90	*	X00220	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6302400	6302563	164	*	X00222	390992	6304252	6305638	1387	+	1688	upstream	1688	HES3
chr1	6321163	6321237	75	*	X00227	387509	6307406	6321035	13630	-	127	upstream	127	GPR153
chr1	6321673	6321790	118	*	X00228	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00235	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00236	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6640183	6640317	135	*	X00255	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00256	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6673307	6673576	270	*	X00257	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673699	6673831	133	*	X00258	148479	6673756	6684093	10338	+	0	overlapStart	0	PHF13
chr1	6673963	6674802	840	*	X00259	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00263	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845503	6845598	96	*	X00264	23261	6845384	7829766	984383	+	0	inside	118	CAMTA1
chr1	6845629	6845973	345	*	X00265	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00271	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831316	135	*	X00272	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843691	210	*	X00273	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	7843776	7843954	179	*	X00274	8863	7844380	7905237	60858	+	425	upstream	425	PER3
chr1	8087308	8087412	105	*	X00275	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8877300	8877419	120	*	X00281	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00282	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189201	9189306	106	*	X00288	80045	9164476	9189229	24754	-	0	overlapStart	0	GPR157
chr1	9189408	9189755	348	*	X00289	80045	9164476	9189229	24754	-	178	upstream	178	GPR157
chr1	9353157	9353336	180	*	X00298	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648594	9648643	50	*	X00311	199953	9648932	9674935	26004	+	288	upstream	288	TMEM201
chr1	9648837	9648956	120	*	X00312	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884046	9884375	330	*	X00323	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00324	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970673	9970792	120	*	X00325	56998	9908334	9970316	61983	-	356	upstream	356	CTNNBIP1
chr1	10057136	10057270	135	*	X00326	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00327	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00328	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10458976	18	*	X00330	5226	10459085	10480201	21117	+	108	upstream	108	PGD
chr1	10532191	10532325	135	*	X00333	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00334	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	11072269	11072388	120	*	X00359	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120056	92	*	X00364	6723	11114649	11120091	5443	-	0	inside	34	SRM
chr1	11120850	11120969	120	*	X00365	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00366	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00368	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333213	11333232	20	*	X00370	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11538893	11538942	50	*	X00371	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11713163	11713372	210	*	X00372	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11713578	11713682	105	*	X00373	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11714868	11715137	270	*	X00374	26232	11708418	11714888	6471	-	0	overlapStart	0	FBXO2
chr1	11715153	11715407	255	*	X00375	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724679	345	*	X00376	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11864961	11865080	120	*	X00383	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00384	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00384	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00387	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00388	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12079011	12079039	29	*	X00390	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	15573912	15574038	127	*	X00405	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15850996	15851393	398	*	X00410	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15850996	15851393	398	*	X00410	23341	15853352	15918874	65523	+	1958	upstream	1958	DNAJC16
chr1	15851578	15851719	142	*	X00411	842	15817324	15851285	33962	-	292	upstream	292	CASP9
chr1	15851578	15851719	142	*	X00411	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00412	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00412	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00413	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00413	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00414	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00415	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00416	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16009255	16009374	120	*	X00417	23207	16010827	16061264	50438	+	1452	upstream	1452	PLEKHM2
chr1	16009540	16009670	131	*	X00418	23207	16010827	16061264	50438	+	1156	upstream	1156	PLEKHM2
chr1	16009762	16010784	1023	*	X00419	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16068806	16068970	165	*	X00420	388595	16068987	16074292	5306	+	16	upstream	16	TMEM82
chr1	16069001	16069330	330	*	X00421	388595	16068987	16074292	5306	+	0	inside	13	TMEM82
chr1	16174985	16175044	60	*	X00429	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00430	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00431	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00433	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16400313	16400402	90	*	X00442	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16563740	16563814	75	*	X00456	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16693696	16693815	120	*	X00457	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17765870	17765959	90	*	X00477	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766256	42	*	X00478	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766345	17766364	20	*	X00479	55920	17733251	17766250	33000	-	94	upstream	94	RCC2
chr1	17767158	17767277	120	*	X00480	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18807150	18807291	142	*	X00494	127707	18807424	18812480	5057	+	132	upstream	132	KLHDC7A
chr1	19283102	19283207	106	*	X00502	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00503	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637169	19637287	119	*	X00505	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638335	360	*	X00506	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00508	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00509	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X00511	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19991975	338	*	X00512	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20812318	20812722	405	*	X00525	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00526	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20878336	20878485	150	*	X00527	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879205	120	*	X00528	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	20915311	20915351	41	*	X00529	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21044298	21044417	120	*	X00534	57576	20990507	21044317	53811	-	0	overlapStart	0	KIF17
chr1	21060438	21060466	29	*	X00538	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21113449	21113523	75	*	X00540	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21502930	21503109	180	*	X00543	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21672718	21672807	90	*	X00552	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835909	21835956	48	*	X00557	249	21835858	21904905	69048	+	0	inside	50	ALPL
chr1	21995313	21995642	330	*	X00561	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00565	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22263643	22263785	143	*	X00566	3339	22148737	22263750	115014	-	0	overlapStart	0	HSPG2
chr1	22379391	22379570	180	*	X00569	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	23036834	23036983	150	*	X00571	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23345295	23345444	150	*	X00572	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00581	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00582	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00583	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00584	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00585	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751313	105	*	X00589	6920	23707555	23751261	43707	-	0	overlapStart	0	TCEA3
chr1	23810660	23811289	630	*	X00592	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857830	96	*	X00593	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X00598	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886793	30	*	X00599	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24104766	24104840	75	*	X00606	57095	24104876	24114722	9847	+	35	upstream	35	PITHD1
chr1	24104766	24104840	75	*	X00606	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00607	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X00608	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00609	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00613	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24165067	24165177	111	*	X00616	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X00618	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24438717	24438791	75	*	X00620	127294	24382531	24438665	56135	-	51	upstream	51	MYOM3
chr1	24469655	24469789	135	*	X00622	58985	24446261	24469775	23515	-	0	overlapStart	0	IL22RA1
chr1	24513630	24513809	180	*	X00624	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24514565	24514684	120	*	X00625	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24828721	24828840	120	*	X00626	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00626	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X00627	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24829636	24829710	75	*	X00628	100750325	24822823	24828850	6028	-	785	upstream	785	RCAN3AS
chr1	24882519	24882638	120	*	X00630	400746	24882567	24935818	53252	+	0	overlapStart	0	NCMAP
chr1	24882774	24882953	180	*	X00631	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	24968541	24968630	90	*	X00634	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071501	17	*	X00640	25932	25071760	25170815	99056	+	258	upstream	258	CLIC4
chr1	25559610	25559714	105	*	X00647	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00651	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25757332	25757459	128	*	X00652	55219	25757388	25826698	69311	+	0	overlapStart	0	MACO1
chr1	25757332	25757459	128	*	X00652	6006	25688740	25756683	67944	-	648	upstream	648	RHCE
chr1	25758083	25758202	120	*	X00653	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25869995	25870129	135	*	X00654	26119	25870076	25895377	25302	+	0	overlapStart	0	LDLRAP1
chr1	25943303	25943402	100	*	X00657	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26126511	26126623	113	*	X00661	57190	26126667	26144713	18047	+	43	upstream	43	SELENON
chr1	26144986	26145088	103	*	X00663	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26185429	26185623	195	*	X00666	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X00667	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
chr1	26187709	26187872	164	*	X00668	79000	26160497	26185848	25352	-	1860	upstream	1860	AUNIP
chr1	26197969	26198058	90	*	X00669	164091	26187975	26197744	9770	-	224	upstream	224	PAQR7
chr1	26233226	26233345	120	*	X00674	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X00674	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X00675	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26504056	26504190	135	*	X00678	10256	26503981	26516375	12395	+	0	inside	74	CNKSR1
chr1	26560626	26560799	174	*	X00682	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26798217	26798336	120	*	X00689	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798871	195	*	X00690	3151	26798902	26803133	4232	+	30	upstream	30	HMGN2
chr1	26855938	26856252	315	*	X00694	6195	26856249	26901520	45272	+	0	overlapStart	0	RPS6KA1
chr1	27022241	27022330	90	*	X00697	8289	27022522	27108601	86080	+	191	upstream	191	ARID1A
chr1	27022406	27022525	120	*	X00698	8289	27022522	27108601	86080	+	0	overlapStart	0	ARID1A
chr1	27022764	27022913	150	*	X00699	8289	27022522	27108601	86080	+	0	inside	241	ARID1A
chr1	27153007	27153116	110	*	X00704	84243	27153201	27182211	29011	+	84	upstream	84	ZDHHC18
chr1	27153167	27153201	35	*	X00705	84243	27153201	27182211	29011	+	0	overlapStart	0	ZDHHC18
chr1	27153333	27153467	135	*	X00706	84243	27153201	27182211	29011	+	0	inside	131	ZDHHC18
chr1	27189501	27189601	101	*	X00709	2810	27189633	27190947	1315	+	31	upstream	31	SFN
chr1	27217301	27217308	8	*	X00712	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27240599	27240676	78	*	X00714	8431	27237975	27240567	2593	-	31	upstream	31	NR0B2
chr1	27319007	27319079	73	*	X00720	388610	27320195	27327377	7183	+	1115	upstream	1115	TRNP1
chr1	27320079	27320092	14	*	X00721	388610	27320195	27327377	7183	+	102	upstream	102	TRNP1
chr1	27320173	27320423	251	*	X00722	388610	27320195	27327377	7183	+	0	overlapStart	0	TRNP1
chr1	27481247	27481561	315	*	X00725	6548	27425300	27481621	56322	-	0	inside	59	SLC9A1
chr1	27560695	27560874	180	*	X00726	23038	27561007	27635124	74118	+	132	upstream	132	WDTC1
chr1	27560980	27561054	75	*	X00727	23038	27561007	27635124	74118	+	0	overlapStart	0	WDTC1
chr1	27561235	27561369	135	*	X00728	23038	27561007	27635124	74118	+	0	inside	227	WDTC1
chr1	27648557	27648557	1	*	X00730	84065	27648636	27662891	14256	+	78	upstream	78	TMEM222
chr1	27648557	27648557	1	*	X00730	644961	27650365	27653016	2652	+	1807	upstream	1807	ACTG1P20
chr1	27718485	27718694	210	*	X00735	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27816581	27816730	150	*	X00737	10163	27730734	27816678	85945	-	0	overlapStart	0	WASF2
chr1	27930043	27930312	270	*	X00764	27245	27860756	27930361	69606	-	0	inside	48	AHDC1
chr1	27930373	27930492	120	*	X00765	27245	27860756	27930361	69606	-	11	upstream	11	AHDC1
chr1	27930732	27930851	120	*	X00766	27245	27860756	27930361	69606	-	370	upstream	370	AHDC1
chr1	27930927	27931256	330	*	X00767	27245	27860756	27930361	69606	-	565	upstream	565	AHDC1
chr1	28098725	28098782	58	*	X00770	23673	28099694	28150963	51270	+	911	upstream	911	STX12
